,cost f,spectral gap,gamma,tau
0,51344.06590082068,0.01646133255448312,0.18,2.0
1,34118.2199002241,0.013077739753337148,0.15750384521484373,2.1995788574218746
2,27714.187565062446,0.01319799183040049,0.15748077336251737,2.225731076747179
3,29559.71762078866,0.015157038511765752,0.16830769729548023,2.1979086696663095
4,30562.814603221006,0.01599049973910105,0.16830740436340125,2.3627903093264297
5,29536.7359204098,0.017199418732249172,0.1767231080978,2.2446524993669463
6,25678.49918982002,0.02046486814443549,0.18583537650546395,2.451575621850255
7,25582.078850462014,0.02464892022167009,0.20441891415601035,2.3289968407577426
8,20948.499426693943,0.024726849483982183,0.2046534768748905,2.3306742188535035
9,22063.5301660548,0.02860821525449586,0.21495110421461835,2.447264831022631
10,16220.899100569051,0.03211024800835671,0.22582589150685445,2.4461357858533512
